iso3c,area_code,area,region,EU27
WSM,244,Samoa,Oceania,FALSE
YUG,248,Yugoslav SFR,Eastern Europe,FALSE
YEM,249,Yemen,Middle East,FALSE
COD,250,Democratic Republic of the Congo,Western Africa,FALSE
ZMB,251,Zambia,Southern Africa,FALSE
BEL,255,Belgium,OECD Europe,TRUE
LUX,256,Luxembourg,OECD Europe,TRUE
SRB,272,Serbia,OECD Europe,FALSE
MNE,273,Montenegro,OECD Europe,FALSE
SDN,276,Sudan,Eastern Africa,FALSE
SSD,277,South Sudan,Eastern Africa,FALSE
ROW,999,RoW,"",FALSE
