area_code,area,item_code,item,comm_code,comm_group,group
2,Afghanistan,2658,"Beverages, Alcoholic",c093,Alcohol,Crop products
2,Afghanistan,2659,"Alcohol, Non-Food",c094,Ethanol,Crop products
2,Afghanistan,2661,Cotton lint,c095,Fibre crops,Crop products
2,Afghanistan,866,Cattle,c096,Live animals,Livestock
2,Afghanistan,946,Buffaloes,c097,Live animals,Livestock
2,Afghanistan,976,Sheep,c098,Live animals,Livestock
2,Afghanistan,1016,Goats,c099,Live animals,Livestock
2,Afghanistan,1034,Pigs,c100,Live animals,Livestock
2,Afghanistan,2029,Poultry Birds,c101,Live animals,Livestock
2,Afghanistan,1096,Horses,c102,Live animals,Livestock
2,Afghanistan,1107,Asses,c103,Live animals,Livestock
2,Afghanistan,1110,Mules,c104,Live animals,Livestock
2,Afghanistan,1126,Camels,c105,Live animals,Livestock
2,Afghanistan,1157,"Camelids, other",c106,Live animals,Livestock
2,Afghanistan,1140,Rabbits and hares,c107,Live animals,Livestock
2,Afghanistan,1150,"Rodents, other",c108,Live animals,Livestock
2,Afghanistan,2848,Milk - Excluding Butter,c109,Milk,Livestock products
2,Afghanistan,2740,"Butter, Ghee",c110,Milk,Livestock products
2,Afghanistan,2744,Eggs,c111,Eggs,Livestock products
2,Afghanistan,2746,Wool (Clean Eq.),c112,"Hides, skins, wool",Livestock products
2,Afghanistan,2731,Bovine Meat,c113,Meat,Livestock products
2,Afghanistan,2732,Mutton & Goat Meat,c114,Meat,Livestock products
2,Afghanistan,2733,Pigmeat,c115,Meat,Livestock products
2,Afghanistan,2734,Poultry Meat,c116,Meat,Livestock products
2,Afghanistan,2735,"Meat, Other",c117,Meat,Livestock products
2,Afghanistan,2736,"Offals, Edible",c118,Meat,Livestock products
2,Afghanistan,2737,"Fats, Animals, Raw",c119,Animal fats,Livestock products
2,Afghanistan,2748,Hides and skins,c120,"Hides, skins, wool",Livestock products
2,Afghanistan,2745,Honey,c121,Honey,Livestock products
2,Afghanistan,2747,Silk,c122,"Hides, skins, wool",Livestock products
2,Afghanistan,2960,"Fish, Seafood",c123,Fish,Fish
3,Albania,2807,Rice and products,c001,Cereals,Primary crops
3,Albania,2511,Wheat and products,c002,Cereals,Primary crops
3,Albania,2513,Barley and products,c003,Cereals,Primary crops
3,Albania,2514,Maize and products,c004,Cereals,Primary crops
3,Albania,2515,Rye and products,c005,Cereals,Primary crops
3,Albania,2516,Oats,c006,Cereals,Primary crops
3,Albania,2517,Millet and products,c007,Cereals,Primary crops
3,Albania,2518,Sorghum and products,c008,Cereals,Primary crops
3,Albania,2520,"Cereals, Other",c009,Cereals,Primary crops
3,Albania,2531,Potatoes and products,c010,Roots and tubers,Primary crops
3,Albania,2532,Cassava and products,c011,Roots and tubers,Primary crops
3,Albania,2533,Sweet potatoes,c012,Roots and tubers,Primary crops
3,Albania,2534,"Roots, Other",c013,Roots and tubers,Primary crops
3,Albania,2535,Yams,c014,Roots and tubers,Primary crops
3,Albania,2536,Sugar cane,c015,Sugar crops,Primary crops
3,Albania,2537,Sugar beet,c016,Sugar crops,Primary crops
3,Albania,2546,Beans,c017,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2547,Peas,c018,"Vegetables, fruit, nuts, pulses, spices",Primary crops
